stock_code,stock_name,train_annualized,test_annualized,total_return_pct,trades,win_rate,buy_hold_return_pct,date_start,date_end,timeframe,fast,slow,signal,buy_mode,sell_mode,trailing_stop,take_profit,cooldown
000428,华天酒店,-26.642,-9.94264,-46.66,4,0,17.6056,2019-07-16,2025-07-18,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
601136,首创证券,-2.86709,-9.95049,-14.9425,1,0,17.7372,2024-01-02,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002552,宝鼎科技,8.02028,-9.95687,-46.6646,3,33.3333,102.854,2019-07-22,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600155,华创云信,-0.0353134,-9.99705,-45.0452,3,0,-37.5427,2019-11-15,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000523,红棉股份,-23.1918,-10.0292,-46.2873,2,0,-39.0977,2019-08-30,2025-07-18,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603017,中衡设计,-25.7081,-10.038,-46.4735,4,25,-12.2523,2019-08-23,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000617,中油资本,0.129154,-10.0594,-45.5939,2,50,-22.1768,2019-10-24,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600421,*ST华嵘,20.2649,-10.0738,-47.0629,4,0,-36.5523,2019-07-23,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600038,中直股份,-0.758707,-10.0831,-47.2803,3,0,-3.57318,2019-07-11,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002624,完美世界,4.64951,-10.1037,-44.4507,2,0,-68.7959,2020-01-10,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002811,郑中设计,-8.25464,-10.1049,-43.21,3,33.3333,-29.7333,2020-03-26,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002419,天虹股份,-7.74456,-10.1057,-47.2678,1,0,-57.1111,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603128,华贸物流,-7.07644,-10.1316,-45.7491,2,50,-16.0428,2019-10-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002178,延华智能,-20.3373,-10.1358,-47.0805,4,0,132.317,2019-08-06,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600100,同方股份,-17.1138,-10.1549,-45.8295,3,0,-10.1235,2019-10-30,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002576,通达动力,-19.4556,-10.211,-42.337,4,25,80.5236,2020-06-09,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000537,中绿电,-26.1957,-10.2574,-46.8164,3,0,26.3543,2019-09-17,2025-07-18,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
000931,中 关 村,-7.02983,-10.2896,-47.8968,3,0,-37.5831,2019-07-18,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603076,乐惠国际,4.8675,-10.302,-39.5139,3,33.3333,-35.0221,2020-12-07,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600152,维科技术,0.141161,-10.3322,-47.0114,4,25,5.2795,2019-09-24,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
